,AMP,CHMON,ETH,ETH10G,ETHN,ETTP,OC192,OPTMON,OSC,OTM,OTM2,OTUTTP,PTP,STM4,STM64,STTP,IS,IS-ANR,OOS,OOS-AU,OOS-AUMA,OOS-MA,OOS-MAANR,n/a,Automatic Shutoff,Automatic Shutoff Disabled,Excessive Error Ratio,Frequency Out Of Range,GCC0 Link Failure,GCC0 OSPF Adjacency Loss,Gauge Threshold Crossing Alert Summary,Laser Off Far End Failure Triggered,Link Down,Local Fault,Loss Of Channel,Loss Of Clock,Loss Of Data Synch,Loss Of Frame,Loss Of Signal,ODU AIS,ODU BDI,ODU LCK,OSC Loss Of Signal,OSC OSPF Adjacency Loss,OSC Signal Degrade,OTU BDI,OTU Signal Degrade,Optical Line Fail,Pre-FEC Signal Degrade,Pre-FEC Signal Fail,Protection Switch Complete - Revertive,RFI,Remote Fault,Rx Channel Power Out Of Range,Rx Power Out Of Range,Shutoff Threshold Crossed,TX Tuning in Progress,normal,BBE-RS,CV-OTU,CV-S,DROPGAINAVG-OTS,DROPGAINMAX-OTS_DROPGAINMIN-OTS_-,E-CV,E-ES,E-INFRAMESERR_E-INFRAMES_/,E-OUTFRAMESERR_E-OUTFRAMES_/,E-UAS,ES-OTU,ES-RS,ES-S,OCH-OPRAVG,OCH-OPRMAX_OCH-OPRMIN_-,OCH-SPANLOSSAVG,OCH-SPANLOSSMAX_OCH-SPANLOSSMIN_-,OPINAVG-OTS,OPINMAX-OTS_OPINMIN-OTS_-,OPOUTAVG-OTS,OPOUTAVG-OTS_OPINAVG-OTS_-,OPOUTMAX-OTS_OPOUTMIN-OTS_-,OPRAVG-OCH,OPRAVG-OTS,OPRMAX-OCH_OPRMIN-OCH_-,OPRMAX-OTS_OPRMIN-OTS_-,OPTAVG-OCH,OPTAVG-OTS,OPTMAX-OCH_OPTMIN-OCH_-,OPTMAX-OTS_OPTMIN-OTS_-,ORLAVG-OTS,ORLMIN-OTS,OTU-CV,OTU-ES,OTU-QAVG,OTU-QSTDEV,PCS-CV,PCS-ES,PCS-UAS,QAVG-OTU,QSTDEV-OTU,RS-BBE,RS-ES,S-CV,S-ES
AMP,1.0,-0.26202119314946437,-0.006628738371401334,-0.02878619299671855,-0.010306094765241303,-0.011518368929470378,-0.0007713269961828162,-0.06740239617723315,-0.014026129624208463,-0.018262344757046595,-0.005270718830818503,-0.009432354793739531,-0.014708134755831695,-0.00013091193746719198,-0.0027051152396883518,-0.0006355879577367892,0.23105058982851143,-0.008226761908244042,-0.017797846258503537,0.11812018888229951,0.0037620845794551954,-0.005815790893380782,-0.00025230004045471196,-0.2619696065016282,0.005760694090856648,0.002880346174416954,-0.0010260622633308397,-0.001793727706342418,-0.0005854599061677004,-0.00023729822987602134,0.007775266119416738,-0.0028055845276401797,-0.0005094309532949046,-0.002635856949263739,-6.997535635092948e-05,-0.0005576153453280307,-4.9480046517695356e-05,-0.0016947465316705147,-0.0013332582369068012,-0.0001851375027150184,-0.00014844019932929415,-4.948004652749742e-05,-6.997535635798223e-05,-0.0005442838028150443,-0.00019163553129415426,-0.00034636116323236155,-0.0004050129826605418,0.004073425034897364,-9.896010798055779e-05,-0.00019163553127683958,-8.570196313880528e-05,-8.570196313064067e-05,-0.0015450897890439549,-0.00015646971664617207,-0.000774494754496583,0.009333397275536642,-6.997535635580132e-05,0.004016396803699956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHMON,-0.26202119314946437,1.0,-0.07149355056857373,-0.31047041371188816,-0.11115528569755043,-0.12423013934368879,-0.008319065034542914,-0.7269613537310956,-0.15127732486373088,-0.19696657126863318,-0.056846775685400246,-0.10173165642998032,-0.1586330184164428,-0.0014119367365665186,-0.02917573185059183,-0.006855066115716513,-0.7736149948083921,-0.08872886296128484,-0.19195677223560872,-0.4568423009739075,-0.03896777174922011,-0.06272559227484176,-0.002721155172547032,0.9993456717907885,-0.0015094239388290577,-0.0007547117412512217,-0.01106648508353595,-0.019346058829784914,-0.006314415364165198,-0.002559354743822076,-0.004743308148461473,-0.030259332635974735,-0.005494413202858323,-0.02842875394666517,-0.0007547117412491164,-0.006014100824013632,-0.000533661763169575,-0.01827850793901466,-0.014379714487163492,-0.0019967807863133912,-0.0016009859351151926,-0.0005336617631467888,-0.0007547117412227184,-0.005870314890283532,-0.0020668645804307025,-0.003735641377430153,-0.004368224320113985,-0.0010673236878149675,-0.001067323687502912,-0.0020668645797311445,-0.0009243293808707663,-0.0009243293809093835,-0.016664401092405412,-0.001687587437399451,-0.008353230559107727,-0.0024455478903726365,-0.0007547117411992642,0.05786210238927207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,-0.006628738371401334,-0.07149355056857373,1.0,-0.007854430091592337,-0.002812059964610772,-0.003142833911984014,-0.0002104597148261565,-0.018391018531031065,-0.0038270866408971075,-0.004982955206715905,-0.0014381371166104374,-0.00257365645190437,-0.004013174520043099,-3.571985575170788e-05,-0.0007381017195281242,-0.00017342276493550755,0.04325099448240671,-0.002244705519386185,-0.004856214896264527,0.06222056325929781,-0.000985825462247108,-0.001586862250534022,-6.884109442910339e-05,-0.07154036144612386,-3.818613395437979e-05,-1.9093061204652032e-05,-0.00027996527084396593,-0.0004894259160306902,-0.0001597451217214498,-6.474778923644652e-05,-0.00011999849454814268,-0.0007655151740772807,-0.0001390003120694043,-0.0007192043126030407,-1.9093061204407456e-05,-0.00015214761984035604,-1.3500832370235552e-05,-0.0004624184992111249,-0.00036378494439421135,-5.051552226187432e-05,-4.050251344314706e-05,-1.3500832369647774e-05,-1.909306120339687e-05,-0.00014851005409324141,-5.228853582665802e-05,-9.450605517794983e-05,-0.0001105094432047265,-2.7001668821241172e-05,-2.7001668816974704e-05,-5.2288535822101876e-05,-2.338412996540176e-05,-2.338412996587316e-05,-0.00042158404674654193,-4.269339996005701e-05,-0.00021132405068050676,-6.186864863457111e-05,-1.9093061203127298e-05,0.001463823341079009,,,,,,,-0.010528015144049892,-0.0038334944543303873,-0.0028126518319626513,0.03104633861489991,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021819564294428172,-0.07590729706304797,0.21151664039343906,,,,,,
ETH10G,-0.02878619299671855,-0.31047041371188816,-0.007854430091592337,1.0,-0.012211750764202018,-0.013648181368126518,-0.0009139497790019969,-0.07986548558020964,-0.016619641393303932,-0.021639156984192904,-0.006245304954406136,-0.011176451260254813,-0.017427753187211806,-0.00015511830515101244,-0.0032053065536962167,-0.0007531118144303492,0.32388452010596563,0.19602438849609352,-0.021088770048785427,0.022161283508364528,-0.003258128524360887,-0.006679149405059006,0.0049300318993114305,-0.3101534107990759,-0.00016582845184541197,-8.29142008739845e-05,0.00187016954302886,-0.0019292415187081142,-0.0006937147988833638,-0.00028117603281054416,-0.0005211096937673131,0.08592281296456311,0.017697058916050404,0.059725251932291466,-8.291420086630911e-05,0.005490730624119807,-5.862919072179496e-05,0.05264528285382046,0.02599651436825957,-0.00021937048826681444,-0.00017588764309392745,-5.86291907177493e-05,-8.291420085019631e-05,-0.000644924997638347,-0.00022707003955068681,-0.0004104053277843903,-0.0004799022048236649,-0.0001172583991935358,-0.0001172583991665946,-0.00022707003950082468,-0.00010154874733619369,-0.00010154874734262829,0.04234587465422378,-0.0001854018641790303,0.0005586075446902148,-0.0002686729751783769,-8.291420085923566e-05,-0.11139278474662495,,,,,,,-0.010314978929494786,-0.011932606080436111,-0.009088531668553137,-0.07175050151861892,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018321510196692058,-0.06688528272444305,-0.013194699366611667,,,,,,
ETHN,-0.010306094765241303,-0.11115528569755043,-0.002812059964610772,-0.012211750764202018,1.0,-0.004886351265895114,-0.00032721426680115304,-0.02859361303340642,-0.005950199779881823,-0.007747297555008186,-0.0022359575209796637,-0.004001417134090658,-0.006239521701369076,-5.5535789438614905e-05,-0.0011475707506053206,-0.00026963071251653647,0.11506407598850135,0.021928606495898888,-0.00755024684036383,0.01793711816380666,0.003951341638902336,-0.0009882219682999724,0.008404093870621415,-0.11066349231300947,-5.9370259211431144e-05,-2.9685120622870048e-05,-0.000435278698479757,-0.0007609396524218367,-0.00024836526521531397,-0.00010066724835479534,-0.00018656881407618352,0.010549509856331827,-0.00021611207283984404,0.0013265168821370893,-2.9685120625956324e-05,0.03057148146403078,0.004801047110463565,-0.0004373466376466275,0.009814612034896513,-7.853949431342976e-05,-6.297167252969501e-05,-2.0990549041185712e-05,-2.968512063055283e-05,-0.0002308974356300294,-8.129610424568984e-05,-0.00014693419867927847,-0.00017181562018477256,-4.198110442891139e-05,-4.1981104420981644e-05,-8.129610422764403e-05,-3.63567010879747e-05,-3.635670108786891e-05,0.008301848028720521,-6.63779744018889e-05,0.06529087871851494,-9.619087681458175e-05,-2.968512062471282e-05,-0.023059573405873737,,,,,,,0.042820072551922876,0.006852747758168458,0.019951105848025643,-0.012626793137621533,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013725851489334282,0.21746269344865116,-0.16407562609161785,,,,,,
ETTP,-0.011518368929470378,-0.12423013934368879,-0.003142833911984014,-0.013648181368126518,-0.004886351265895114,1.0,-0.0003657034725488644,-0.03195699159978008,-0.006650103441750506,-0.008658588290758579,-0.0024989663122989914,-0.0044720914990452176,-0.006973457408077675,-6.206829318416231e-05,-0.001282555961500575,-0.0003013465422569404,0.11030042382985523,0.13684959864654392,-0.0084383591034801,0.025841320420859033,-0.0010028130062909348,-0.002647001790329972,-0.00011962112229564483,-0.1242084666384307,-6.635379981938392e-05,-3.3176889882051967e-05,0.08158188502310428,0.1552509335172189,-0.0002775797059290556,-0.00011250842652387381,-0.0002085143286861675,-0.001330190709542439,-0.00024153266980421313,0.07393274086610607,-3.317688988176557e-05,0.0005021628474530425,-2.3459602641141522e-05,0.0077725848136269175,-0.000632127709177039,-8.777785297624123e-05,-7.037883623970622e-05,-2.345960264713536e-05,-3.317688988290127e-05,-0.00025805718937852915,-9.085871444051833e-05,-0.0001642176155521871,-0.00019202576202778377,-4.691921234813767e-05,-4.691921236800159e-05,-9.085871440189794e-05,-4.0633227783797435e-05,-4.063322777785027e-05,0.018772283723597176,-7.418581094606783e-05,-0.00036720537808087423,-0.0001075055131465774,-3.317688988505532e-05,-0.11080457090483345,,,,,,,-0.018682113009943664,0.011661535041581064,-0.004440575435766542,0.08896158385889755,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02156380724249381,-0.07167208452582345,-0.004918037199655555,,,,,,
OC192,-0.0007713269961828162,-0.008319065034542914,-0.0002104597148261565,-0.0009139497790019969,-0.00032721426680115304,-0.0003657034725488644,1.0,-0.002139998335522035,-0.00044532384256280454,-0.0005798219293459697,-0.00016734315347353653,-0.0002994733822789804,-0.00046697722458807165,-4.156400131964054e-06,-8.58862954442228e-05,-2.0179656042213648e-05,0.008983876122458769,0.008637765891948646,-0.0005650742930323265,-0.0006205828155708082,-0.00011471169168893538,-0.00018464896701158475,-8.0104224374967e-06,-0.008278148440718213,-4.443378867877188e-06,-2.221688762492931e-06,-3.257705451876243e-05,-5.695011638580841e-05,-1.858811104583342e-05,-7.534121126165366e-06,-1.3963151531798375e-05,-8.907615396502833e-05,-1.617422308628546e-05,-8.36873732021153e-05,-2.221688762410429e-06,-1.7704057703518577e-05,-1.5709711106195306e-06,0.026170672239739092,0.016624299765105082,-5.878039510722256e-06,-4.712915230864398e-06,-1.5709711107944973e-06,-2.2216887622772635e-06,-1.728078670792904e-05,-6.084349242109292e-06,-1.099682436741059e-05,-1.2858995499721498e-05,-3.141942695844746e-06,-3.141942695784785e-06,-6.084349240300296e-06,-2.7210020536455844e-06,0.07407227126030368,-4.905596483231422e-05,-4.967849100348677e-06,-2.4589889677475145e-05,-7.199101283326663e-06,-2.2216887624490257e-06,-0.013454027182325454,,,0.010773054854546748,,,,,,,,,,0.15144134067929693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTMON,-0.06740239617723315,-0.7269613537310956,-0.018391018531031065,-0.07986548558020964,-0.02859361303340642,-0.03195699159978008,-0.002139998335522035,1.0,-0.03891461625102539,-0.05066772923803974,-0.014623278560450195,-0.02616947631245561,-0.040806796671912,-0.0003632069533752137,-0.007505172437786348,-0.0017633988933558112,0.43143405895871273,-0.02282463453162961,0.26405361338838285,0.48437821583871743,0.04823068196677035,0.0857352622961116,-0.0006999906256813296,-0.7269253339328674,-0.00038828458528887235,-0.00019414223391489728,-0.00284674534362638,-0.0049765849320532905,-0.0016243217612091194,-0.0006583690439253959,0.003093507812547806,-0.007783918171355046,-0.001413384203666742,-0.007313019658820847,-0.00019414223392273018,-0.0015470687749746764,-0.00013727928322649832,-0.004701967874814069,0.0017665997076826562,-0.0005136523804590263,-0.0004118380157662783,-0.00013727928323235245,-0.00019414223393440604,-0.0015100812463905355,-0.0005316807526835253,-0.0009609573068860841,-0.0011236830985232385,-0.0002745586078940394,-0.0002745586079037491,-0.0005316807526924463,0.0012714972766887734,-0.0002377747173696483,-0.004286754636143629,-0.00043411540735635817,-0.0021487870823465776,-0.0006290933405688194,-0.00019414223391952802,0.013146473986068715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSC,-0.014026129624208463,-0.15127732486373088,-0.0038270866408971075,-0.016619641393303932,-0.005950199779881823,-0.006650103441750506,-0.00044532384256280454,-0.03891461625102539,1.0,-0.010543722159537633,-0.0030430372257885343,-0.005445748043296015,-0.008491707302616263,-7.558170182428343e-05,-0.0015617919757569254,-0.00036695522519862285,0.19409530639041636,-0.004749701802826245,-0.010275545035455923,-0.022518899786004392,-0.0019885066424211455,-0.003357733309824607,-0.00014566484003669992,-0.15124272344994735,-8.08002420475309e-05,-4.0400108797593065e-05,-0.0005923946549219625,-0.0010356045083749713,-0.00033801391153142057,-0.0001370035796212383,-0.000253911731921527,-0.0016197976844068169,-0.0002941187729143645,-0.0015218058629677326,-4.040010880225562e-05,-0.00032193791934993516,-2.8567189460928055e-05,-0.0009784579578563277,-0.0007697535339181396,-0.00010688870547494673,-8.570160293508829e-05,-2.8567189460305303e-05,0.004988928393303698,0.038804988774186144,0.013662752044283823,-0.00019997080986853204,-0.00023383330108094058,-5.713438755945194e-05,-5.713438754769377e-05,-0.00011064032707477679,-4.9479828571616325e-05,-4.947982857149365e-05,-0.0008920539866356774,-9.033742600240361e-05,-0.000447152740492006,-0.00013091144002741023,-4.040010880030549e-05,-0.0014343010136914078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTM,-0.018262344757046595,-0.19696657126863318,-0.004982955206715905,-0.021639156984192904,-0.007747297555008186,-0.008658588290758579,-0.0005798219293459697,-0.05066772923803974,-0.010543722159537633,1.0,-0.003962104757635558,-0.0070904897433585225,-0.011056399057287836,-9.840912160694425e-05,-0.002033489227496503,-0.0004777841792852174,0.24125688207717252,0.010894803191487248,-0.01337899698301606,-0.016746701836260883,-0.001361124113215362,-0.003950641752864807,0.0008876466839497202,-0.19640871197926738,-0.0001052037815273838,-5.260187486506882e-05,-0.0007713115242290545,-0.0013483809911437545,0.009541553112413819,0.0026851475641951152,-0.00033059893990158455,-0.0018182814136561297,-0.0003829494360348539,-0.0019814263840332532,0.0038316742613271134,0.0017743336579660069,-3.719514054992658e-05,-0.001113575841370151,-0.00018672063077923622,-0.00013917156350897058,-0.00011158546664562822,-3.719514055353464e-05,-5.260187486181699e-05,-0.00040914902006270105,-0.00014405626146698602,0.007979446887077262,-0.000304456359291716,-7.439029233536364e-05,0.0012989088443882905,0.0026926198097579,-6.44238796879921e-05,-6.442387969055254e-05,-0.0011614748955539591,0.008567887570821673,0.0001197002348140586,-0.00017044971880076477,-5.260187486429956e-05,0.0011162569137785996,,,,,,,,,,,,,,-0.16297123170129113,0.0028564526118285416,,,,,,,,,,,,,,,,,,,-0.24853538913916812,0.10186825362208538,0.05891686154712476,,,,,,,,,
